101,Basic introduction or beginner course,He’s just taking English 101 this semester,3
110 proof,Very strong alcohol or something very powerful,That whiskey is 110 proof — handle it carefully,2
11 Downing Street,Official residence of the UK Chancellor of the Exchequer,The new budget was announced from 11 Downing Street,3
11th commandment,An unwritten rule or moral law,In our office the 11th commandment is “don’t be late”,2
12-ounce curls,Humorous term for drinking beer,He spent the evening doing 12-ounce curls at the bar,1
13th reason why,Reference to causes of emotional distress or suicide from the show “13 Reasons Why”,After that breakup she joked about having a 13th reason why,2
15 minutes of fame,Short period of public attention,His viral video gave him his 15 minutes of fame,4
23 skidoo,To leave quickly or go away,Let’s 23 skidoo before the boss gets back,1
23 Skidoo Street,Playful address using the old idiom,Their office was nicknamed 23 Skidoo Street,1
3-on-the-tree,Three-speed manual gearshift mounted on the steering column,My dad’s old truck had a 3-on-the-tree shifter,1
800-pound gorilla,An extremely powerful or dominant person or organization,Google is the 800-pound gorilla in online advertising,4
Abbot's Priory,An abbey or metaphor for a quiet retreat,He spent the weekend at Abbot’s Priory to rest,1
abound in one's own sense,To be full of self-confidence or self-importance,He abounds in his own sense of superiority,1
about time,Finally or at last,It’s about time you showed up,5
about to,On the verge of doing something,I’m about to leave for work,5
above and beyond,Beyond expectations,She went above and beyond to help the team,5
above board,Open and honest,All their business dealings are above board,4
above one's bend,Beyond one's ability or understanding,Quantum physics is above my bend,1
above one's huckleberry,Beyond someone's skill or ability,That task is a bit above my huckleberry,1
above par,Better than average,His performance was well above par this quarter,4
above the curve,Better than normal or expected,Her test scores were above the curve,3
above the fray,Not involved in conflict,He stayed above the fray during the argument,3
above the law,Acting as if not bound by laws,Some politicians think they’re above the law,4
above the salt,High-ranking or privileged,He was seated above the salt at the banquet,1
above water,Financially stable or surviving,We’re finally keeping our business above water,3
a bridge too far,An attempt that goes beyond what is achievable,Launching two new products at once was a bridge too far,3
absence makes the heart grow fonder,Being apart increases affection,After a month away they realized absence makes the heart grow fonder,4
abuse of distress,Misuse of another’s vulnerable situation,The landlord was accused of abuse of distress,1
accident of birth,Something determined by one’s birth not effort,Privilege is often just an accident of birth,3
accident waiting to happen,A situation likely to cause trouble,That old elevator is an accident waiting to happen,3
according to Cocker,Exactly right or by the rules,He did the job perfectly according to Cocker,1
according to Gunter,By the book or with precision,He measured the land according to Gunter,1
according to Hoyle,In strict accord with the rules,You must play the hand according to Hoyle,2
ace in the hole,A hidden advantage,She has an ace in the hole for the final round,3
ace up one's sleeve,A secret resource or advantage,He kept that strategy as an ace up his sleeve,4
a cigar is just a cigar,Something ordinary not symbolic,Stop overanalyzing — sometimes a cigar is just a cigar,2
acknowledge the corn,Admit a mistake or fault,He finally acknowledged the corn about his error,1
a cold day in July,Something that will never happen,He’ll apologize on a cold day in July,2
acquired taste,Something disliked at first but appreciated later,Black coffee is an acquired taste,4
across the board,Applying to everyone or everything,The company announced raises across the board,4
activist judge,A judge seen as making law rather than interpreting it,He accused the court of being run by activist judges,3
activist justice,A supreme court justice perceived as pursuing political goals,Some call him an activist justice for his decisions,2
act of Congress,Something requiring a lot of effort or bureaucracy,Getting that approval took an act of Congress,3
act one's age,Behave maturely,Stop fooling around and act your age,4
act one's age, not one's shoe size,Behave appropriately for your age,Act your age, not your shoe size,3
act out,Express feelings through behavior,The child began to act out in class,4
act the hypocrite,To pretend to be virtuous,He condemned others but acted the hypocrite himself,2
act up,Behave badly or malfunction,The printer is acting up again,4
Adam's ale,Water (humorous term),He asked only for a glass of Adam’s ale,2
Adam Tiler,An accomplice who retrieves stolen goods,The thief and his Adam Tiler escaped,1
a day late and a dollar short,Too late or insufficient,His apology was a day late and a dollar short,4
added value,Extra benefit beyond the basic offer,Good service gives added value to a product,3
add fuel to the fire,Make a bad situation worse,His comment only added fuel to the fire,5
add insult to injury,Make an offense worse by adding more harm,Losing the game and missing the bus added insult to injury,5
add oil,Encouragement to keep going,Come on team, add oil!,2
add up,Make sense or be logical,His story doesn’t add up,5
a dime a dozen,Very common or cheap,Fake watches are a dime a dozen,4
adorn oneself with borrowed plumes,Take credit for others’ work,He adorned himself with borrowed plumes after the project,2
adrenaline rush,Sudden excitement or energy,The roller coaster gave me an adrenaline rush,4
adversarial collaboration,Two opponents working together to test an idea,They ran an adversarial collaboration to settle the debate,2
afraid of one's own shadow,Easily frightened,He’s so timid he’s afraid of his own shadow,3
after all,Despite everything or in the end,We decided to go after all,5
after one's own heart,Having similar tastes or values,He’s a man after my own heart,4
after the fact,Too late or following an event,They apologized only after the fact,3
after the Lord Mayor's show,Something disappointing after a big event,The sequel felt like after the Lord Mayor’s show,1
against all odds,Despite great difficulties,They succeeded against all odds,5
against the clock,Under time pressure,We’re racing against the clock to finish,4
against the collar,Under strain or difficulty,He’s been working against the collar lately,1
against the grain,Contrary to the norm or one’s nature,It goes against the grain to lie,4
against the run of play,Unexpected outcome against momentum,Their goal was against the run of play,2
against the world,Facing everyone alone,It feels like me against the world sometimes,3
age before beauty,Playful phrase letting an older person go first,Go ahead—age before beauty!,3
a good deal,A fair amount or bargain,That’s a good deal of money for this car,4
a great deal,A large amount,He knows a great deal about history,4
agree to disagree,Accepting differing opinions,We’ll have to agree to disagree on this,4
aha moment,A sudden realization or insight,She had an aha moment during the lecture,4
ahead of one's time,Having ideas earlier than others can accept,His art was ahead of its time,3
ahead of the curve,More advanced than others,Our tech is ahead of the curve,3
ahead of the game,In a better position than competitors,We started early and are ahead of the game,4
ahead of the pack,More advanced than competitors,Our startup is ahead of the pack in AI tech,4
a hundred and ten percent,Give maximum effort,She always gives a hundred and ten percent,4
ain't what it used to was,Not as good as before,This town ain’t what it used to was,2
air one's dirty linen in public,Reveal private matters publicly,They aired their dirty linen in public on social media,4
air out,Let fresh air circulate,Open the windows to air out the room,3
air rage,Violent behavior on an airplane,The passenger was arrested for air rage,2
alarums and excursions,Confusion or commotion,The play opened with alarums and excursions,1
albatross around one's neck,A heavy burden or guilt,That debt was an albatross around his neck,4
albatross round one's neck,A heavy burden (variant spelling),His mistake became an albatross round his neck,3
a little bird told me,Said when you know something secretly,A little bird told me you got a promotion,4
a little bit of bread and no cheese,The sound of a yellowhammer bird,We heard the call—“a little bit of bread and no cheese”,1
a little from column A, a little from column B,A mix of two options,We chose a little from column A and a little from column B,3
a little of something goes a long way,Small amounts are enough,A little salt goes a long way,4
alive and kicking,Healthy and active,Grandpa’s still alive and kicking at 90,4
all along,From the beginning,I knew the answer all along,5
all and some,Each and every person,He invited all and some to the meeting,1
all and sundry,Everyone without exception,The news spread to all and sundry,3
all-around,Versatile or well-balanced,She’s an all-around athlete,3
all at once,Suddenly,All the lights went out all at once,4
all bark and no bite,Talks tough but does nothing,He’s all bark and no bite,4
all bedlam breaks loose,Complete chaos erupts,When the alarm rang all bedlam broke loose,2
all bets are off,Anything can happen,If it rains, all bets are off,4
all dressed up and nowhere to go,Prepared but no opportunity,She was all dressed up and nowhere to go,3
all duck or no dinner,All or nothing,It’s all duck or no dinner with that gambler,1
all ears,Listening attentively,I’m all ears—tell me everything,5
all ends up,Completely or thoroughly,He was drunk all ends up,1
all eyes,Watching carefully,The crowd was all eyes during the performance,3
all eyes and ears,Fully attentive,The students were all eyes and ears,3
all fur and no knickers,Showy but lacking substance,That influencer is all fur and no knickers,2
all fur coat and no knickers,Flashy but shallow,It’s all fur coat and no knickers with that brand,2
all good,Everything is fine,Don’t worry, it’s all good,5
all hat and no cattle,Boastful but lacking ability,He talks big but he’s all hat and no cattle,3
all hat and no cowboy,All talk and no skill,That investor is all hat and no cowboy,2
all heart,Kind and generous,She’s all heart and always helps others,3
all hell breaks loose,Sudden chaos or disorder,When the boss found out all hell broke loose,5
all holiday,Full of fun or leisure,The kids thought school was all holiday,1
all hollow,Empty or meaningless,His apology sounded all hollow,2
all in the family,Within a close group,We kept the business all in the family,3
all it's cracked up to be,As good as expected,The movie wasn’t all it’s cracked up to be,4
all kidding aside,Seriously now,All kidding aside, you did a great job,4
all mouth and no trousers,All talk and no action,He’s all mouth and no trousers,3
all mouth and trousers,Talks big but doesn’t deliver,That manager is all mouth and trousers,2
all of a heap,Suddenly or completely,She fell all of a heap on the floor,1
all one's born days,All one’s life,I’ve never seen that in all my born days,2
all one's life's worth,With great effort,He ran for all his life’s worth,2
all one's taste is in one's mouth,Poor taste or style,He dresses so badly—all his taste is in his mouth,1
all out,Using full effort,They went all out to win,4
all over,Finished or everywhere,It’s all over now,5
all over bar the shouting,Essentially finished,It’s all over bar the shouting,3
all over but the shouting,Almost done or decided,The election’s all over but the shouting,3
all over hell's half acre,Spread everywhere,We searched all over hell’s half acre for the keys,2
all over oneself,Overly eager or flattering,He was all over himself trying to please the boss,2
all over the board,Inconsistent or varied,Her grades are all over the board,3
all over the map,Inconsistent or spread out,His ideas are all over the map,4
all over the place,Disorganized or widespread,My notes are all over the place,5
all over with,Finished or done,It’s all over with their friendship,3
all points of the compass,In every direction,People came from all points of the compass,2
all rights reserved,Legal phrase protecting copyright,All rights reserved by the author,5
all roads lead to Rome,Many paths reach the same goal,No matter how you study, all roads lead to Rome,4
all set,Ready,We’re all set for the presentation,5
all sixes and nines,In confusion or disorder,The office was at sixes and nines,2
all sizzle and no steak,Looks impressive but lacks substance,The ad campaign was all sizzle and no steak,3
all talk and no cider,Talks big but no results,He’s all talk and no cider,1
all that,Everything desirable or impressive,He thinks he’s all that,3
all that jazz,And similar things,They serve pasta, wine, and all that jazz,4
all the gear and no idea,Has the equipment but no skill,He’s all the gear and no idea on the slopes,2
all the marbles,The whole prize or goal,This game is for all the marbles,3
all the rage,Very popular,Those shoes are all the rage right now,4
all there,Sane or mentally sharp,He’s not all there today,3
all the same,Nevertheless or equally,She missed the train but smiled all the same,4
all the tea in China,No amount of reward would persuade,Not for all the tea in China would I do that,3
all the way to Egery and back,Exaggerated long distance,He complained all the way to Egery and back,1
all the while,Throughout the time,He smiled all the while,4
all things considered,Taking everything into account,All things considered, we did well,4
all things to all people,Trying to please everyone,You can’t be all things to all people,4
all thumbs,Clumsy,I’m all thumbs today and dropped my phone,4
all told,Altogether,All told we spent three hours there,3
all to smash,Completely broken or ruined,The vase fell all to smash,1
all very well,Acceptable only up to a point,That’s all very well but it won’t work,3
all-weather friend,A friend who stays loyal through everything,She’s an all-weather friend,2
all wet,Completely wrong,Your theory is all wet,3
almighty dollar,Money as the most powerful force,People do anything for the almighty dollar,4
along about,Around a certain time,He arrived along about midnight,2
along the lines of,Similar to or resembling,We want a design along the lines of this sketch,4
amateur hour,Unprofessional performance,That meeting was pure amateur hour,3
amber gambler,Driver who speeds through yellow lights,Don’t be an amber gambler at the lights,2
amber light,Yellow traffic signal,He slowed down at the amber light,3
amber nectar,Beer (humorous),He poured himself a pint of amber nectar,2
American Dream,Ideal of prosperity and success in the US,They came seeking the American Dream,5
a mite,A small amount or slightly,He looked a mite tired today,2
anaconda mortgage,Loan with heavy repayment structure,They were trapped in an anaconda mortgage,1
an arm and a leg,Very expensive,That car cost me an arm and a leg,5
ancient history,Something long past,That argument is ancient history now,4
and all,Including everything or everyone,She bought dresses and shoes and all,4
and all this,Everything mentioned before,We had rain, wind, and all this bad weather,3
and change,Plus a small extra amount,It cost fifty dollars and change,3
and counting,Still increasing,The channel has 10 000 subscribers and counting,4
and crap,Plus trivial or unpleasant extras,He filled the bag with books and crap,3
and finally,Used to introduce the last point,And finally, thank you for your patience,5
and his mother,Everyone imaginable,He invited the whole team and his mother,3
and how,Definitely or enthusiastically,Hot today? And how!,3
and I don't mean maybe,Absolutely certain,You’ll finish this task—and I don’t mean maybe!,2
and shit,Used informally to mean “and stuff”,We talked about school and shit,3
and so forth,Et cetera or and others,He listed names, dates, and so forth,4
and so on,Et cetera,They kept going—complaints, excuses, and so on,5
and such,And similar things,He collects stamps and such,3
and the like,Similar things,We discussed politics and the like,4
and then some,Even more than mentioned,He’s smart and then some,3
and whatnot,And other unspecified things,They sell books, maps, and whatnot,4
an eye for an eye, a tooth for a tooth,Equal retaliation,They wanted an eye for an eye, a tooth for a tooth,4
angel's advocate,One who argues for good when others oppose,He played angel’s advocate to balance the debate,1
angle for farthings,Seek small advantages,He’s always angling for farthings at work,1
a notch above,Slightly better,This model is a notch above the rest,4
another day, another dollar,Same routine work again,Back to the office—another day, another dollar,4
another nail in someone's coffin,Something that worsens a situation,That scandal was another nail in his coffin,3
another string to one's bow,An additional skill,Learning Python adds another string to your bow,3
an ounce of prevention is better than a pound of cure,Preventing problems is easier than fixing them,An ounce of prevention is better than a pound of cure,4
answer on a postcard,Send a brief reply or suggestion,Your ideas welcome—answers on a postcard!,2
answer someone's prayers,Provide exactly what’s needed,That job was the answer to her prayers,4
answer the call of nature,Go to the toilet,He left the room to answer the call of nature,3
answer to someone's prayers,Fulfill a strong wish,The promotion was an answer to his prayers,3
anybody who is anybody,All important people,Anybody who is anybody was at the gala,3
any more for any more,Asking if anyone wants anything else,Any more for any more before we close?,1
any nook or cranny,Every small place,We searched every nook and cranny,4
any old,Any random or ordinary,He grabbed any old shirt to wear,3
any old nook or cranny,Every tiny space,The dust gets into any old nook or cranny,2
any old thing,Anything at all,He’ll eat any old thing for lunch,3
anyone's guess,Unknown or uncertain,What happens next is anyone’s guess,4
any port in a storm,Any refuge in trouble,We took shelter—any port in a storm,3
any the wiser,More informed,He read the manual but wasn’t any the wiser,3
anything goes,No limits or rules,At that party anything goes,4
any time now,Very soon,The bus should arrive any time now,4
any time soon,In the near future,Don’t expect changes any time soon,4
ape leader,A spinster who supposedly leads apes in hell (old idiom),She feared becoming an ape leader,1
apothecary's Latin,Pretentious or obscure language,His report was full of apothecary’s Latin,1
a pound to a penny,Very likely,It’s a pound to a penny he’ll be late,2
appeal from Philip drunk to Philip sober,Seek reconsideration later with a clear mind,He decided to appeal from Philip drunk to Philip sober,1
appetite comes with eating,Desire increases once you start,He began reluctantly but appetite comes with eating,3
apple of someone's eye,Someone cherished or beloved,Her son is the apple of her eye,5
apple-polish,To flatter for advantage,He tried to apple-polish the teacher,2
apple polisher,A flatterer,She’s such an apple polisher,2
apples and oranges,Incomparable things,You can’t compare poetry and physics—it’s apples and oranges,4
apples to apples,Compare similar things,We need an apples-to-apples comparison,3
apples to apples, oranges to oranges,Compare like with like,Let’s compare apples to apples, oranges to oranges,3
apply oneself,Work hard on something,If you apply yourself you’ll succeed,5
apron string,Motherly control,He’s still tied to his mother’s apron string,2
apron-string hold,Excessive maternal control,His mother kept an apron-string hold on him,1
arch doxy,Mistress or prostitute (archaic),He spent the night with an arch doxy,1
are you deaf,Used to demand attention,Turn off the TV—are you deaf?,3
are your ears burning,Used when someone is being talked about,Your ears burning? We were just talking about you,3
arm candy,Attractive partner used for appearance,He arrived with arm candy at the event,3
armchair quarterback,Someone who criticizes without participating,He’s an armchair quarterback during every game,3
arm's length,Maintain distance or independence,Keep that deal at arm’s length,4
arm to the teeth,Heavily armed,The guards were armed to the teeth,4
arm up,Prepare for battle or action,They armed up before the raid,2
army volunteer,Person joining the military willingly,He became an army volunteer,3
a Roland for an Oliver,A fair exchange or equal match,He gave a Roland for an Oliver in argument,1
around Robin Hood's barn,Indirect or long route,We drove around Robin Hood’s barn to get there,2
around the clock,Continuously,The factory runs around the clock,4
around the corner,Nearby or soon,Spring is just around the corner,5
around the Horn,Traveling around South America’s Cape Horn,The ship sailed around the Horn,2
arrive at,Reach or conclude,They arrived at a decision,5
arrow in the quiver,Resource or option available,That’s another arrow in our quiver,3
arse end of nowhere,Remote place,He lives in the arse end of nowhere,3
arse over tip,Fall head over heels,He slipped and went arse over tip,2
arse over tit,Fall upside down,He fell arse over tit off the ladder,2
arsy varsy,Upside down or disordered,The plan went all arsy varsy,1
arsy versy,Completely reversed,The schedule was arsy versy again,1
artful dodger,Clever trickster or thief,He’s a real artful dodger with money,3
as all get-out,To a great degree,That movie was funny as all get-out,3
as a rule,Generally,As a rule he doesn’t eat breakfast,4
as a whole,Taken together,The plan works well as a whole,4
as best one can,Doing as well as possible,She managed as best she could,4
as clever as a cartload of monkeys,Very clever (humorous),That kid is as clever as a cartload of monkeys,2
as ever,As usual,He was polite as ever,4
as ever trod shoe leather,Old phrase meaning “of all people”,He’s the kindest man as ever trod shoe leather,1
as ever trod shoe-leather,Same as above variant,She’s as fine a singer as ever trod shoe-leather,1
as far as one knows,To the best of one’s knowledge,As far as I know he’s still in Paris,5
a short drop and a sudden stop,Execution by hanging,They sentenced him to a short drop and a sudden stop,1
as if,Used sarcastically to express disbelief,He said he’d pay back tomorrow—yeah, as if!,5
as if someone owns the place,Acting arrogantly,He walked in as if he owned the place,4
as if there were no tomorrow,With great intensity or recklessness,They partied as if there were no tomorrow,4
as in,Used to clarify or give an example,He studies linguistics, as in the science of language,5
as is,In its current condition,We’re selling the furniture as is,4
